customerID,gender,State,Account length,Area code,Contract,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn value,Total Call duration,Complaints,PaperlessBilling,PaymentMethod,Recharge Frequency,Total_charge,Avg_Days_Between_Recharge,estimated_recharge_freq
5067-XJQFU,Male,CT,199,415,One year,No,Yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,0,FALSE,0,757.3,0,Yes,Electronic check,1.47,73.48,81.65487207,0.3674
3957-SQXML,Female,CT,96,415,Two year,No,Yes,37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,TRUE,1,519.2,1,No,Credit card (automatic),1.04,52.07,115.2294988,0.26035
5954-BDFSG,Female,MN,94,415,Two year,No,No,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,FALSE,0,675.7,0,Yes,Credit card (automatic),1.25,62.58,95.87727709,0.3129
0434-CSFON,Female,FL,127,415,Month-to-month,No,No,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,TRUE,1,744.5,0,Yes,Electronic check,1.57,78.74,76.2001524,0.3937
1215-FIGMP,Male,RI,121,408,Month-to-month,No,No,0,170.4,108,28.97,350.5,68,29.79,297,87,13.37,11.2,3,3.02,0,TRUE,1,829.1,0,Yes,Bank transfer (automatic),1.5,75.15,79.84031936,0.37575
0526-SXDJP,Male,IN,122,408,Two year,No,No,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,TRUE,1,656.5,1,No,Bank transfer (automatic),1.56,77.76,77.16049383,0.3888
0557-ASKVU,Female,AL,121,408,One year,No,Yes,35,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,FALSE,0,486.7,0,Yes,Credit card (automatic),0.83,41.42,144.8575567,0.2071
5698-BQJOH,Female,OR,77,510,Month-to-month,No,No,0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,FALSE,0,720.6,0,No,Electronic check,1.48,74.02,81.0591732,0.3701
5122-CYFXA,Female,MS,64,408,Month-to-month,Yes,No,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,TRUE,1,662.1,0,Yes,Electronic check,1.42,71.02,84.48324416,0.3551
8627-ZYGSZ,Male,CA,124,408,One year,Yes,No,0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,FALSE,0,650.7,0,Yes,Electronic check,1.4,69.95,85.77555397,0.34975
3410-YOQBQ,Female,DE,148,415,Two year,No,No,0,124.4,83,21.15,179.7,81,15.27,253,99,11.39,11.3,6,3.05,0,FALSE,0,568.4,0,No,Mailed check,1.02,50.86,117.9709005,0.2543
3170-NMYVV,Female,MS,77,408,Two year,No,No,0,230,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,FALSE,0,654.1,0,No,Bank transfer (automatic),1.3,64.85,92.52120278,0.32425
7410-OIEDU,Male,NC,135,415,Month-to-month,No,No,0,201.8,81,34.31,225,114,19.13,204.4,82,9.2,10.3,6,2.78,1,FALSE,0,641.5,0,Yes,Mailed check,1.31,65.42,91.71507184,0.3271
2273-QCKXA,Male,SD,87,415,Month-to-month,No,Yes,21,214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,0,FALSE,0,539.1,0,No,Mailed check,1.21,60.59,99.02624195,0.30295
0731-EBJQB,Female,NH,54,510,One year,No,No,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,FALSE,0,551.3,0,Yes,Electronic check,1.22,61.22,98.00718719,0.3061
1891-QRQSA,Male,MA,35,415,Two year,No,No,0,105.6,129,17.95,258.2,129,21.95,213.1,77,9.59,8.7,3,2.35,0,FALSE,0,585.6,0,Yes,Bank transfer (automatic),1.04,51.84,115.7407407,0.2592
8028-PNXHQ,Male,TX,84,408,Two year,No,No,0,138.6,102,23.56,199,93,16.92,204.1,137,9.18,7.8,4,2.11,0,FALSE,0,549.5,0,Yes,Bank transfer (automatic),1.04,51.77,115.8972378,0.25885
5630-AHZIL,Female,OR,94,415,Month-to-month,No,No,0,234.4,103,39.85,279.3,109,23.74,234.2,121,10.54,2,2,0.54,1,TRUE,1,749.9,0,Yes,Bank transfer (automatic),1.49,74.67,80.35355564,0.37335
2673-CXQEU,Female,UT,96,408,One year,No,Yes,26,145.8,108,24.79,192.2,89,16.34,165.1,96,7.43,9.9,2,2.67,1,FALSE,0,513,0,No,Electronic check,1.02,51.23,117.1188757,0.25615
6416-JNVRK,Female,NV,64,415,One year,No,No,0,97.2,80,16.52,186.2,90,15.83,189,92,8.5,10.4,6,2.81,2,FALSE,0,482.8,0,No,Credit card (automatic),0.87,43.66,137.4255612,0.2183
5590-ZSKRV,Female,NE,85,415,Month-to-month,No,No,0,259.8,85,44.17,242.3,117,20.6,168.8,72,7.6,5.4,1,1.46,0,FALSE,0,676.3,0,No,Mailed check,1.48,73.83,81.26777733,0.36915
0191-ZHSKZ,Male,AZ,117,408,Month-to-month,No,No,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,FALSE,0,634,0,Yes,Electronic check,1.35,67.72,88.60011813,0.3386
3887-PBQAO,Female,DC,112,415,One year,No,Yes,16,221.6,110,37.67,130.2,123,11.07,200,108,9,11.3,3,3.05,1,FALSE,0,563.1,0,Yes,Credit card (automatic),1.22,60.79,98.70044415,0.30395
5919-TMRGD,Female,MA,129,510,Month-to-month,Yes,No,0,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,FALSE,0,594.5,0,Yes,Electronic check,1.21,60.73,98.79795818,0.30365
8108-UXRQN,Female,AZ,140,408,Month-to-month,No,No,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,FALSE,0,590.5,0,No,Electronic check,1.17,58.61,102.3716089,0.29305
9191-MYQKX,Female,MI,81,415,Month-to-month,No,No,0,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,FALSE,0,555.9,0,Yes,Bank transfer (automatic),1.07,53.53,112.0866804,0.26765
9919-YLNNG,Female,TX,70,510,Month-to-month,No,No,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,FALSE,0,536.1,0,Yes,Bank transfer (automatic),0.89,44.35,135.2874859,0.22175
0318-ZOPWS,Female,ID,79,510,Two year,No,Yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,6.3,3,1.7,4,FALSE,0,646.8,1,Yes,Bank transfer (automatic),1.43,71.67,83.71703642,0.35835
4445-ZJNMU,Male,AL,85,408,Month-to-month,No,No,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,FALSE,0,613.8,0,Yes,Credit card (automatic),1.15,57.27,104.7668937,0.28635
4808-YNLEU,Female,SD,91,510,One year,No,No,0,149,115,25.33,245.3,105,20.85,260,94,11.7,8.3,3,2.24,0,FALSE,0,662.6,0,Yes,Bank transfer (automatic),1.2,60.12,99.8003992,0.3006
1862-QRWPE,Female,LA,149,415,Two year,No,Yes,20,198.9,77,33.81,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1,FALSE,0,677.9,0,No,Bank transfer (automatic),1.39,69.54,86.28127696,0.3477
2796-NNUFI,Female,AZ,60,415,Two year,No,No,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,FALSE,0,511.6,0,Yes,Mailed check,0.89,44.6,134.529148,0.223
3016-KSVCP,Male,RI,115,408,Month-to-month,No,No,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,FALSE,0,685.6,0,No,Mailed check,1.21,60.63,98.96091044,0.30315
4767-HZZHQ,Male,OH,144,415,Month-to-month,No,Yes,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1,FALSE,0,433,0,No,Bank transfer (automatic),0.79,39.39,152.3229246,0.19695
2424-WVHPL,Male,AZ,86,415,Month-to-month,No,Yes,32,70.9,163,12.05,166.7,121,14.17,244.9,105,11.02,11.1,5,3,3,FALSE,0,493.6,0,No,Electronic check,0.8,40.24,149.1053678,0.2012
7233-PAHHL,Male,MI,139,415,Two year,No,Yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,FALSE,0,627.3,0,Yes,Mailed check,1.36,67.79,88.50862959,0.33895
6067-NGCEU,Female,NV,124,408,Month-to-month,No,No,0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,FALSE,0,599.2,0,Yes,Credit card (automatic),1.09,54.54,110.0110011,0.2727
9848-JQJTX,Male,MA,102,510,Two year,Yes,No,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,FALSE,0,615.1,0,Yes,Bank transfer (automatic),1.37,68.66,87.38712496,0.3433
8637-XJIVR,Female,IN,78,415,Month-to-month,No,No,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,FALSE,0,754.3,0,Yes,Electronic check,1.46,73.03,82.15801725,0.36515
9803-FTJCG,Male,AL,55,415,One year,Yes,No,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,TRUE,1,666,0,Yes,Credit card (automatic),1.35,67.42,88.99436369,0.3371
0278-YXOOG,Male,RI,129,415,Month-to-month,No,Yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,FALSE,0,667.6,0,No,Mailed check,1.15,57.46,104.4204664,0.2873
3212-KXOCR,Male,ME,75,408,Two year,Yes,No,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,TRUE,1,502.5,1,No,Bank transfer (automatic),1.11,55.44,108.2251082,0.2772
4598-XLKNJ,Female,SD,126,415,Month-to-month,No,Yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,FALSE,0,557.6,0,Yes,Electronic check,1,49.83,120.4093919,0.24915
6380-ARCEH,Male,MO,92,415,Month-to-month,No,No,0,154,122,26.18,329.8,88,28.03,288,117,12.96,5.6,2,1.51,3,TRUE,1,777.4,0,No,Mailed check,1.37,68.68,87.36167734,0.3434
3679-XASPY,Female,OK,52,408,Month-to-month,No,No,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,FALSE,0,506.1,0,No,Electronic check,1.16,58.07,103.323575,0.29035
7123-WQUHX,Male,IL,87,510,One year,No,No,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13,6,3.51,1,FALSE,0,483.7,0,No,Bank transfer (automatic),1.21,60.47,99.22275509,0.30235
5386-THSLQ,Female,NJ,95,415,One year,No,Yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,FALSE,0,450.4,0,No,Bank transfer (automatic),0.67,33.39,179.6945193,0.16695
3192-NQECA,Male,LA,67,510,Two year,No,No,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,FALSE,0,632.6,1,Yes,Bank transfer (automatic),1.44,71.99,83.34490902,0.35995
6180-YBIQI,Male,OR,165,415,Month-to-month,No,No,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,FALSE,0,644.5,0,No,Mailed check,1.33,66.5,90.22556391,0.3325
6728-DKUCO,Female,RI,150,415,One year,No,Yes,29,209.9,77,35.68,158,52,13.43,141.9,113,6.39,6.6,1,1.78,0,FALSE,0,516.4,0,Yes,Electronic check,1.15,57.28,104.7486034,0.2864
9750-BOOHV,Female,NC,26,415,One year,No,No,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,FALSE,0,646.1,0,No,Mailed check,1.36,67.84,88.44339623,0.3392
8597-CWYHH,Male,MD,79,510,One year,No,Yes,31,103.1,90,17.53,243,135,20.66,76.4,92,3.44,12.2,8,3.29,3,FALSE,0,434.7,0,No,Mailed check,0.9,44.92,133.5707925,0.2246
2848-YXSMW,Male,WI,69,510,Two year,Yes,No,0,279.8,90,47.57,248.7,91,21.14,171,118,7.69,8.4,10,2.27,2,TRUE,1,707.9,0,No,Credit card (automatic),1.57,78.67,76.26795475,0.39335
0486-HECZI,Male,VT,95,510,Month-to-month,Yes,Yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,TRUE,1,481.6,1,Yes,Electronic check,0.98,49.13,122.1249746,0.24565
4549-ZDQYY,Female,NY,157,415,One year,No,No,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,FALSE,0,553.3,0,No,Credit card (automatic),1.27,63.59,94.35445825,0.31795
5712-AHQNN,Female,VT,80,415,Month-to-month,No,No,0,160.6,103,27.3,237,109,20.15,245.1,88,11.03,10.7,1,2.89,1,FALSE,0,653.4,0,Yes,Electronic check,1.23,61.37,97.76763891,0.30685
4846-WHAFZ,Female,AZ,75,510,Month-to-month,No,Yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,FALSE,0,652.9,0,Yes,Electronic check,1.16,57.97,103.5018113,0.28985
5256-SKJGO,Female,WV,44,510,Two year,No,No,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,TRUE,1,794.3,0,Yes,Electronic check,1.55,77.54,77.37941708,0.3877
3071-VBYPO,Male,OK,101,408,Month-to-month,No,No,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,TRUE,1,533.4,1,No,Electronic check,0.97,48.66,123.3045623,0.2433
9560-BBZXK,Female,WI,117,408,Two year,No,Yes,14,80.2,81,13.63,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,FALSE,0,430.4,0,No,Bank transfer (automatic),0.8,40.09,149.6632577,0.20045
